,release_year,original_title
0,1960,5
1,1961,10
2,1962,7
3,1963,6
4,1964,7
5,1965,4
6,1966,5
7,1967,12
8,1968,9
9,1969,4
10,1970,11
11,1971,13
12,1972,8
13,1973,12
14,1974,13
15,1975,9
16,1976,15
17,1977,19
18,1978,16
19,1979,16
20,1980,23
21,1981,29
22,1982,26
23,1983,29
24,1984,41
25,1985,40
26,1986,47
27,1987,46
28,1988,56
29,1989,51
30,1990,52
31,1991,50
32,1992,53
33,1993,71
34,1994,59
35,1995,79
36,1996,81
37,1997,88
38,1998,90
39,1999,116
40,2000,104
41,2001,117
42,2002,122
43,2003,119
44,2004,139
45,2005,157
46,2006,165
47,2007,154
48,2008,157
49,2009,168
50,2010,170
51,2011,191
52,2012,156
53,2013,178
54,2014,164
55,2015,157
